Posisi,Perusahaan,Bidang,Jenjang,Jurusan,Requirement,Link
Staf Portofolio,PT Waskita Karya (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,Manajemen Keuangan,"Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan
Menguasi skill Financial Modelling",https://rekrutmenbersama.fhcibumn.id/job/detail/A79FFDE728DB598DDD94A969F1C1C8AB
Quantity Surveyor,PT Waskita Karya (Persero) Tbk,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Sipil,"Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/FE83B344FF546754E34311B483479F15
Engineering Officer,PT Waskita Karya (Persero) Tbk,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Sipil,"Lulusan S1 atau S2 Teknik Sipil
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan
Memahami Autocad (2D)
Memahami pembuatan Job Mix Formula Beton",https://rekrutmenbersama.fhcibumn.id/job/detail/681E0B3579BFE857A688465380A3F945
Staf Akuntansi,PT Waskita Karya (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/2CB019E1A7900BC9955849CB52126D17
Staf Satuan Pengawasan Intern,PT Waskita Karya (Persero) Tbk,Legal and Compliance,Sarjana S1 / Diploma IV,Akuntansi,"Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan
Memiliki pengalaman di bidang pengawasan internal",https://rekrutmenbersama.fhcibumn.id/job/detail/F5312791AFF366F7EF2BDCEBA0B91018
Staff Akuntansi,PT Biofarma (Persero),Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Mampu mengoperasiokan microsoft office
Mampu menggunakan aplikasi/software akuntansi
Memahami manajemen risiko
Mampu bekerjasama dalam tim
Memiliki sertifikat brevet diutamakan
Mampu bekerja dibawah tekanan
IPK Minimal 3.00 8. Pria / Wanita",https://rekrutmenbersama.fhcibumn.id/job/detail/72442BCF11964E615BD86A38CD557F63
Laboran / Operator,PT Biofarma (Persero),Operasi / Produksi / Proyek,Diploma III,Analis Kesehatan,"Memiliki kemampuan teknis sebagai laboran / operator
Mahir menggunakan MS. Office
Mampu bekerja dalam tekanan / target waktu
Mampu bekerjasama di dalam tim
IPK Minimal 3.0
Pria",https://rekrutmenbersama.fhcibumn.id/job/detail/AF7925F1616500A6E33D532707154706
Staff Produksi,PT Biofarma (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Farmasi,"Mampu mengoperasiokan microsoft office
Mampu bekerjasama dalam tim
Mampu bekerja dibawah tekanan
Bersedia bekerja shift
Memiliki pengalaman bekerja di industri farmasi diutamakan
IPK Minimal 3.0
Pria / Wanita",https://rekrutmenbersama.fhcibumn.id/job/detail/F674B81A7AA884B2A85F5EC8850E36F0
Asisten Peneliti,PT Biofarma (Persero),Analyst Research,Sarjana S1 / Diploma IV,Kimia,"Memahami teknologi proses
Mampu mengoperasikan microsoft office
Memiliki kemampuan berbahasa inggris lisan & tulisan
Memiliki pengalaman di Industri Farmasi diutamakan
Bisa bekerjasama dalam tim
IPK Minimal 3.0
Pria",https://rekrutmenbersama.fhcibumn.id/job/detail/3F7B11D79F83E0B14C4D8845FC9DE99D
ATLM,PT Bio Farma (Persero) - PT Kimia Farma Tbk - PT Kimia Farma Diagnostika,Sistem Management and Safety,Diploma III,Analis Kesehatan,"Memiliki STR yang masih aktif
Maksimal usia 27 tahun
Diutamakan yang memiliki pengalaman
Memiliki kejujuran, integritas, kreatif dan komunikatif
Mampu bekerjasama dalam tim
Mampu mengoperasikan Ms. office",https://rekrutmenbersama.fhcibumn.id/job/detail/33FA6718938571791D2AC754B417AFFE
Perawat,PT Bio Farma (Persero) - PT Kimia Farma Tbk - PT Kimia Farma Diagnostika,Sistem Management and Safety,Diploma III,Keperawatan,"Memiliki STR yang masih aktif
Memiliki sertifikat BTCLS
Maksimal usia 27 tahun
Diutamakan yang memiliki pengalaman
Memiliki kejujuran, integritas, kreatif dan komunikatif
Mampu bekerjasama dalam tim
Mampu mengoperasikan Ms. office",https://rekrutmenbersama.fhcibumn.id/job/detail/B856B014E099F8B1466AD0EBD09D4115
Staff HC Talent & Development,PT Bio Farma (Persero) - PT Kimia Farma Tbk - PT Kimia Farma Apotek,SDM / HC,Sarjana S1 / Diploma IV,"Psikologi
Management SDM","Maksimal usia 27 tahun
Mampu mengoperasikan Ms. Office
Memiliki kemampuan analytical skill dan teliti
Mampu bekerja dibawah tekanan
Memiliki kejujuran, integritas, kreatif dan komunikatif
Mampu bekerjasama dalam tim",https://rekrutmenbersama.fhcibumn.id/job/detail/A2717DB8C9E521C5F7D5DF98368BCBCE
Staff Pelaksana HC Operation,PT Bio Farma (Persero) - PT Kimia Farma Tbk - PT Kimia Farma Apotek,SDM / HC,Sarjana S1 / Diploma IV,Semua Jurusan,"Maksimal usia 27 tahun
Mampu mengoperasikan Office Technology, Software dan aplikasi lainnya
Berpengalaman dalam mengelola Sistem Informasi Pekerja dan Administrasi SDM
Memiliki kemampuan Data Analytic & Pengolahan Data
Mampu bekerja dibawah tekanan
Memiliki ketelitian, kejujuran, integritas, dan komunikatif
Mampu bekerjasama dalam tim",https://rekrutmenbersama.fhcibumn.id/job/detail/4C4FB46EDB73E9554A01A6913DEA8DDC
Staff Finance,PT Bio Farma (Persero) - PT Kimia Farma Tbk - PT Kimia Farma Apotek,Keuangan,Sarjana S1 / Diploma IV,"Keuangan
Akuntansi","Maksimal usia 27 tahun
Menguasai Ms. Office
Memiliki kemampuan analytical skill dan teliti
Mampu bekerjasama dalam tim
Memiliki kemampuan Budgeting, Manajemen Keuangan Administrasi Keuangan, Ekonomi Makro/Mikro
Memahami transaksi perbankan & Manajemen Risiko",https://rekrutmenbersama.fhcibumn.id/job/detail/03FF90EFF2408C887CAD55C1CF387CE1
Asisten Peneliti Mikrobiologi,PT Biofarma (Persero) - PT Kimia Farma Tbk,Analyst Research,Diploma III,"Mikrobiologi
Kimia
Farmasi","Maksimal usia 25 tahun
Diutamakan memiliki pengalaman pada Industri Farmasi
Memahami teknologi proses (formulasi, analisis, mikrobiologi)
Memiliki kemampuan bahasa inggris
Memiliki kemampuan mengoperasikan Ms. office",https://rekrutmenbersama.fhcibumn.id/job/detail/6AE1E689AF1AB7AE14D7102009FA3612
IT Officer,PT Bank Rakyat Indonesia (Persero) Tbk,Developer Information Technology,Sarjana S1 / Diploma IV,"Statistik
Sistem Teknologi Informasi
Sarjana Teknik
Matematika
Ilmu Komputer","Berpengalaman minimal 1 tahun di bidang IT
Menguasai bahasa pemrograman",https://rekrutmenbersama.fhcibumn.id/job/detail/F6B1CEB1DF9B2EF244795EC96A39C012
Internal Audit,PT Danareksa (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,Akuntansi,"IPK Minimal 3,3 (Akreditasi A)
Memiliki kemampuan komunikasi yang baik
Memiliki pengalaman audit lebih diutamakan
Gelar sarjana akuntansi dari Universitas Negeri (UI, UGM, Unpad)
Memiliki sertifikat profesi diutamakan
Memiliki minat tinggi di bidang audit",https://rekrutmenbersama.fhcibumn.id/job/detail/97AB60B21C5712043ADE5853ABBBDD0F
Assistant Investment Manager (officer),PT Danareksa (Persero) - PT Perusahaan Pengelola Aset,Capital Market Investment Banking,Sarjana S1 / Diploma IV,"Manajemen
Keuangan
Akuntansi","Requirement: Menguasai analisa laporan keuangan, financial modeling.",https://rekrutmenbersama.fhcibumn.id/job/detail/85373BBC80D5CBACDFA060576E53D894
Pelaksana Reporting & Hubungan Stakeholder,PT Danareksa (Persero) - PT Surabaya Industrial Estate Rungkut,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Industri
Statistik
Sistem Teknologi Informasi
Manajemen bisnis
Akuntansi","Usia Maks. 25 Tahun
Fresh Graduate/Pengalaman maksimal 1 tahun
IPK min. 3,25 (Akreditasi A) dan IPK min. 3,50 (Akreditasi B)
Tidak pernah terlibat kasus kriminalitas, narkoba, atau penyuapan/korupsi.
Mampu bekerja secara mandiri maupun di dalam tim
Mampu bekerja di bawah tekanan
Diutamakan domisili Surabaya dan sekitarnya",https://rekrutmenbersama.fhcibumn.id/job/detail/69146EB19CFCB545CA7777231D51BBCE
Pelaksana Penyedia Jasa Pekerjaan,PT Danareksa (Persero) - PT Surabaya Industrial Estate Rungkut,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Teknik Sipil,"Usia Maks. 25 Tahun
Fresh Graduate/Pengalaman maksimal 1 tahun
IPK min. 3,25 (Akreditasi A) dan IPK min. 3,50 (Akreditasi B)
Tidak pernah terlibat kasus kriminalitas, narkoba, atau penyuapan/korupsi
Mampu bekerja secara mandiri maupun di dalam tim
Mampu bekerja di bawah tekanan
Diutamakan domisili Surabaya dan sekitarnya",https://rekrutmenbersama.fhcibumn.id/job/detail/595A05D656FFADA3B3F7C8811C088B72
Business Analyst,PT Danareksa (Persero) - PT Danareksa Capital - PT Reksasentosa Dinamika,Analyst Research,Sarjana S1 / Diploma IV,"Manajemen ekonomi dan bisnis
Ekonomi
Akuntansi","Menguasai Finance, Akuntasi, Management, Ekonomi dan Bisnis.
Mempunyai kemampuan Komputer, berbahasa Inggris baik.",https://rekrutmenbersama.fhcibumn.id/job/detail/A2B8995A2394A52597A7A3B72D9CE9A0
Editor,PT Danareksa (Persero) - PT Balai Pustaka,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Sastra Inggris
Sastra Indonesia","Menguasai EYD
Menguasai Ms Office
Gemar membaca
Memiliki kemampuan menulis dan mengedit yang baik
Teliti dan tekun",https://rekrutmenbersama.fhcibumn.id/job/detail/BCFCA38634BC270077AEC62E8D34E891
Copywriter,PT Danareksa (Persero) - PT Balai Pustaka,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Sastra Inggris
Sastra Indonesia
Marketing Communication","Memiliki kemampuan menulis yang baik
Memiliki kemampuan komunikasi yang baik
Kreatif
Teliti",https://rekrutmenbersama.fhcibumn.id/job/detail/A1C6CFD648349B4D73E3D398D92168D2
Business Development & Corporate Planner,PT Danareksa (Persero) - PT Balai Pustaka,Pengembangan Usaha / R and D,Sarjana S1 / Diploma IV,"Teknik Industri
Manajemen bisnis
Ekonomi & Bisnis","Menguasai Microsoft Office
Memiliki kemampuan analisa
Researcher
Komunikatif
Responsif",https://rekrutmenbersama.fhcibumn.id/job/detail/C0BB53107CC35E3E2433E90B8D3CDDF2
Staf SDM,PT Danareksa (Persero) - PT Kawasan Industri Makasar,SDM / HC,Sarjana S1 / Diploma IV,Manajemen,"Menguasai MS Office
Memiliki Comunication dan presentation skill yang baik
Mampu berkomunikasi bahasa inggris dengan baik
Memiliki pengetahuan tentang sistem penggajian, pengembangan SDM, dan recruitment",https://rekrutmenbersama.fhcibumn.id/job/detail/4913DC5AEBE1D261C5238E0C8AE30E14
Staf Komunikasi & Kelembagaan,PT Danareksa (Persero) - PT Kawasan Industri Makasar,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Ilmu Komunikasi,"Menguasai MS Office
Memiliki Comunication dan presentation skill yang baik
Mampu berkomunikasi bahasa inggris dengan baik
Berpenampilan menarik
Memiliki pengetahuan dan pemahaman di bidang komunikasi, public relationship dan/atau kelembagaan atau corporate secretary",https://rekrutmenbersama.fhcibumn.id/job/detail/DD1C25E712B52941E934C7E60B1584F1
Staf Bidang Hukum,PT Danareksa (Persero) - PT Kawasan Industri Makasar,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Menguasai MS Office
Memiliki Comunication dan presentation skill yang baik
Mampu berkomunikasi bahasa inggris dengan baik
Memiliki pengetahuan dan pemahaman dalam hukum perusahaan dan proses litigasi
Memiliki pengalaman dalam penyusunan kontrak dan perjanjian",https://rekrutmenbersama.fhcibumn.id/job/detail/C6D584D067B5F60D99F5FC7B793C2E98
Staf Keuangan & Akuntansi,PT Danareksa (Persero) - PT Kawasan Industri Makasar,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Menguasai MS Office
Memiliki comunication dan presentation skill yang baik
Memahami sistem dan peraturan di bidang akuntansi dan perpajakan
Memiliki pengalaman kerja dibidang keuangan, akuntansi dan perpajakan
Bersedia bekerja overtime",https://rekrutmenbersama.fhcibumn.id/job/detail/7406103E18C3F16FB93D4CAE24739619
Staf Pengelolaan Sumber Daya Hutan,Perum Perhutani,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Kehutanan,Requirement: Menguasai Manajemen Hutan,https://rekrutmenbersama.fhcibumn.id/job/detail/33454E930A282681059F0216BBC653AF
Staf Pengelolaan Sumber Daya Hutan,Perum Perhutani,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Pertanian,Requirement: Menguasai Agronomi,https://rekrutmenbersama.fhcibumn.id/job/detail/D21A88666E8510A0B1E90EB5452AF499
Staf Technology,Perum Perhutani,Engineering and Maintenance,Sarjana S1 / Diploma IV,Kehutanan,Requirement: Menguasai remote sensing,https://rekrutmenbersama.fhcibumn.id/job/detail/3D1E56A65F9268AE1221E6CD75704755
Staf Technology,Perum Perhutani,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Mesin,Requirement: Menguasai Mesin Industri,https://rekrutmenbersama.fhcibumn.id/job/detail/AD80415918540400F630640687959871
Staf Komunikasi Perusahaan,Perum Perhutani,Bisnis Niaga / Pemasaran,Diploma III,Ilmu Komunikasi,Requirement: Memiliki kompetensi pada content creator/content writer/editor,https://rekrutmenbersama.fhcibumn.id/job/detail/CB88A88BFD5C6E8F9BEB8BEE979CA7B6
Staf Peneliti Riset n Inovasi,Perum Perhutani,Analyst Research,Sarjana S1 / Diploma IV,Bioteknologi,Requirement: Memiliki peminatan peneliti pada bioteknologi,https://rekrutmenbersama.fhcibumn.id/job/detail/B137C321BD03CE1944B9E47A5A3ED7F8
"Staf Pengujian, QC dan QA",Perum Perhutani,Analyst Research,Diploma III,Teknik Kimia,Requirement: Menguasai kompetensi pengujian kimia dan Fisika,https://rekrutmenbersama.fhcibumn.id/job/detail/A3766AF16E671F42FDBC0DD9C3501FAC
Staf Industri Hasil Hutan Bukan Kayu,Perum Perhutani,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Industri,Requirement: Memahami proses alur proses produksi pabrik,https://rekrutmenbersama.fhcibumn.id/job/detail/02D4B469A0F7CA368705E869ED77FF17
Staf Pengelolaan Lingkungan,Perum Perhutani,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Lingkungan,Requirement: Memahami sertifikasi AMDAL/SEL/DPPL,https://rekrutmenbersama.fhcibumn.id/job/detail/BE4D87C03E57B56B08889C9FAA13D4D3
Staf Asesor Kompetensi,Perum Perhutani,SDM / HC,Sarjana S1 / Diploma IV,Psikologi,Requirement: Memahami teknik asesor dan pengembangan kompetensi,https://rekrutmenbersama.fhcibumn.id/job/detail/FFB5BE10590F84F3F0963DDA47244569
Staf SDM,Perum Perhutani,SDM / HC,Sarjana S1 / Diploma IV,"Management SDM
Ketenagakerjaan",Requirement: Memahami proses kebijakan manajemen SDM,https://rekrutmenbersama.fhcibumn.id/job/detail/7C281636591EE8DF807B2F72474D7C44
Staf Perpajakan,Perum Perhutani,Keuangan,Sarjana S1 / Diploma IV,"Perpajakan/Pajak
Administrasi Fiskal",Requirement: Memahami perpajakan dan regulasinya,https://rekrutmenbersama.fhcibumn.id/job/detail/20E64B865F8CA392D456A0D4B8FB8469
Staf Akuntansi,Perum Perhutani,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,Requirement: Memahami pembukuan keuangan / akuntansi bisnis korporasi,https://rekrutmenbersama.fhcibumn.id/job/detail/11BC8EB6717DA6858D1025F8E5F7D61F
Staf Perencanaan & Pengembangan Bisnis,Perum Perhutani,Pengembangan Usaha / R and D,Sarjana S1 / Diploma IV,Manajemen bisnis,Requirement: Memahami Penyusunan Project Planning dan Analisis Bisnis,https://rekrutmenbersama.fhcibumn.id/job/detail/777F71942DB58D623E88901F19E1253E
Staf Perencanaan Strategis,Perum Perhutani,Strategic Planning,Sarjana S1 / Diploma IV,Manajemen,Requirement: Memahami penyusunan rencana perusahaan dan tata kelola organisasi,https://rekrutmenbersama.fhcibumn.id/job/detail/4FFF1BF83F13F2CE1D470F63223EBA2D
Staf Perencanaan Strategis,Perum Perhutani,Strategic Planning,Sarjana S1 / Diploma IV,Manajemen Hutan,Requirement: Memahami penyusunan rencana perusahaan dan tata kelola organisasi,https://rekrutmenbersama.fhcibumn.id/job/detail/FB705EF5BDD73D4E67C2D2272DB2EE18
Staf Pengelolaan Unit Manajemen Hutan,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Manajemen Hutan,Requirement: Memahami manajemen hutan alam produksi,https://rekrutmenbersama.fhcibumn.id/job/detail/2261950C8A7DCE57BAB0B1449C81EB2F
Staf Pengelolaan Unit Industri Hasil Hutan Kayu,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknologi Hasil Hutan,Requirement: Memahami teknologi pengolahan hasil hutan kayu,https://rekrutmenbersama.fhcibumn.id/job/detail/E070019EFE57F293C22312C7423A14C3
Staf Pengelolaan Unit Manajemen Hutan Tanaman Industri,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Pertanian,Requirement: Memahami teknologi budidaya tanaman,https://rekrutmenbersama.fhcibumn.id/job/detail/7C55D372C8881F328583A3D4CE258738
Staf Pengelolaan Unit Industri Hasil Hutan Kayu,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Industri,Requirement: Memahami teknologi & proses produksi,https://rekrutmenbersama.fhcibumn.id/job/detail/E993DC8B3C9C5CCE82893F9EFCA4EF2B
Staf Administrasi Keuangan,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Keuangan,Sarjana S1 / Diploma IV,Ekonomi,Requirement: Memahami pembukuan keuangan / akuntansi bisnis korporasi,https://rekrutmenbersama.fhcibumn.id/job/detail/5494221433F5B4674E5B59BA90984E9F
Staf Pengelolaan Unit Manajemen Hutan,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Operasi / Produksi / Proyek,Diploma III,Manajemen Hutan,Requirement: Memahami manajemen hutan alam produksi,https://rekrutmenbersama.fhcibumn.id/job/detail/D4438DC0C2FB8491D09E16FCCB06AE5D
Staf Administrasi Keuangan,Perum Perhutani - PT. Inhutani I - PT. Inhutani I,Keuangan,Diploma III,Ekonomi,Requirement: Memahami pembukuan keuangan / akuntansi bisnis korporasi,https://rekrutmenbersama.fhcibumn.id/job/detail/A02042C4BF7880951F1533CC3C20458E
